longitude	frequency power [Hz]	spectral density [dB/Hz]	doppler
 016	1420253750.0	3.75881	999192169.8285199
 016	1420257750.0	3.76189	999194983.9514774
 016	1420261750.0	3.7565800000000005	999197798.074435
 016	1420265750.0	3.74033	999200612.1973925
 016	1420037750.0	3.32951	999040207.1888164
 016	1420105750.0	3.4480699999999995	999088047.2790934
 016	1420081750.0	3.39969	999071162.5413486
 016	1419845750.0	3.18384	998905129.2868576
 016	1419601750.0	3.00451	998733467.7864517
 016	1419585750.0	3.00711	998722211.2946218
 016	1419589750.0	3.0179099999999996	998725025.4175793
 016	1419537750.0	3.02152	998688441.8191321
 016	1419541750.0	3.0129599999999996	998691255.9420896
 016	1419545750.0	3.0084299999999997	998694070.065047
 016	1419605750.0	3.00298	998736281.9094092
 016	1419553750.0	3.01107	998699698.310962
 016	1419557750.0	3.00978	998702512.4339194
 016	1419561750.0	3.01664	998705326.5568769
 016	1419565750.0	3.00655	998708140.6798344
 016	1419569750.0	2.99791	998710954.8027918
 016	1419573750.0	3.00925	998713768.9257493
 016	1419637750.0	3.02031	998758794.8930689
 016	1419621750.0	3.03345	998747538.401239
 016	1419633750.0	3.02927	998755980.7701114
 016	1419529750.0	3.03118	998682813.5732172
 016	1419549750.0	3.0191	998696884.1880045
 016	1419609750.0	3.00012	998739096.0323666
 016	1419865750.0	3.1902	998919199.901645
 016	1419617750.0	3.01172	998744724.2782816
 016	1419577750.0	3.01531	998716583.0487068
 016	1419625750.0	3.0174	998750352.5241965
 016	1419873750.0	3.1855900000000004	998924828.1475599
 016	1419581750.0	3.02146	998719397.1716642
 016	1419593750.0	2.9889799999999997	998727839.5405368
 016	1419521750.0	3.0308900000000003	998677185.3273022
 016	1419645750.0	3.03004	998764423.1389838
 016	1419641750.0	3.0274400000000004	998761609.0160264
 016	1419533750.0	3.01915	998685627.6961746
 016	1419457750.0	3.17631	998632159.3599826
 016	1419525750.0	3.03365	998679999.4502597
 016	1419437750.0	3.19558	998618088.7451953
 016	1419413750.0	3.2044200000000003	998601204.0074503
 016	1419421750.0	3.20463	998606832.2533653
 016	1419465750.0	3.14138	998637787.6058975
 016	1419429750.0	3.19728	998612460.4992802
 016	1419433750.0	3.2024	998615274.6222377
 016	1419425750.0	3.21067	998609646.3763227
 016	1419469750.0	3.14812	998640601.728855
 016	1419445750.0	3.1964	998623716.9911102
 016	1419449750.0	3.1779	998626531.1140677
 016	1419453750.0	3.18208	998629345.2370251
 016	1419441750.0	3.18702	998620902.8681527
 016	1419613750.0	3.0261	998741910.1553241
 016	1419473750.0	3.1257	998643415.8518125
 016	1419477750.0	3.1343799999999997	998646229.97477
 016	1419481750.0	3.12968	998649044.0977274
 016	1419485750.0	3.11269	998651858.2206849
 016	1419489750.0	3.09665	998654672.3436424
 016	1419493750.0	3.09897	998657486.4665998
 016	1419497750.0	3.07933	998660300.5895573
 016	1419501750.0	3.0742	998663114.7125148
 016	1419505750.0	3.06924	998665928.8354722
 016	1419509750.0	3.0581	998668742.9584297
 016	1419513750.0	3.0430200000000003	998671557.0813873
 016	1419517750.0	3.03891	998674371.2043447
 016	1419597750.0	3.0058599999999998	998730653.6634942
 016	1419629750.0	3.02114	998753166.647154
 016	1419649750.0	3.03185	998767237.2619413
 016	1419653750.0	3.03999	998770051.3848988
 016	1419661750.0	3.03125	998775679.6308138
 016	1419889750.0	3.21509	998936084.6393899
 016	1419797750.0	3.15532	998871359.8113679
 016	1419801750.0	3.14983	998874173.9343253
 016	1419805750.0	3.14356	998876988.0572828
 016	1419809750.0	3.14783	998879802.1802403
 016	1419813750.0	3.1539	998882616.3031979
 016	1419817750.0	3.16931	998885430.4261553
 016	1419821750.0	3.16067	998888244.5491128
 016	1419825750.0	3.1579900000000003	998891058.6720703
